,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,sens,sens_sd,spec,spec_sd,htune_val,htune_trials
24,bag,auc,10,5-fold,0.6650793651,0.0657916882,0.6585307018000001,0.07582973750000001,0.7278947368,0.10795248780000001,0.5891666667000001,0.20602049520000001,5-fold,100
121,mlp,pearson,100,5-fold,0.6644444444000001,0.0636664272,0.6628508772,0.0593248571,0.6873684211000001,0.1124272618,0.6383333333,0.0865223157,5-fold,100
122,mlp,pearson,50,m-carlo,0.6625,0.077146035,0.6587500000000001,0.0793787556,0.6925,0.112711789,0.625,0.146224413,5-fold,100
238,svm,pca,100,m-carlo,0.6625,0.0676072776,0.6425000000000001,0.0702322276,0.8225,0.0880714423,0.4625,0.1256561725,5-fold,100
182,rf,auc,10,m-carlo,0.6611111111,0.057424697100000005,0.6559375,0.0546548305,0.7025,0.09930680800000001,0.609375,0.0727598564,5-fold,100
123,mlp,auc,50,10-fold,0.6604575163,0.10178571360000001,0.6581746032,0.1044307688,0.6877777778,0.16484186210000001,0.6285714286,0.2044363414,5-fold,100
59,dtree,pearson,50,10-fold,0.6598039216,0.13559750780000002,0.6585317460000001,0.1341577991,0.6777777778,0.1735611039,0.6392857143,0.1816793043,5-fold,100
124,mlp,pearson,50,10-fold,0.6594771242,0.06940630760000001,0.6535317460000001,0.0754861626,0.7177777778000001,0.1015922618,0.5892857143,0.1683587574,5-fold,100
61,dtree,step-up,50,5-fold,0.6590476190000001,0.0640294717,0.6563377193000001,0.0664593274,0.6668421053,0.11963703190000001,0.6458333333,0.15937159580000002,5-fold,100
60,dtree,pearson,100,5-fold,0.6590476190000001,0.0640294717,0.6492543860000001,0.0685597921,0.7268421053,0.047819489800000003,0.5716666667,0.10918733900000001,5-fold,100
183,rf,pearson,10,5-fold,0.6588888889,0.0709782986,0.6595175439000001,0.0731164162,0.6773684211000001,0.14688124360000002,0.6416666667,0.1934697794,5-fold,100
25,bag,auc,10,10-fold,0.658496732,0.0946428148,0.6515873016,0.0889513138,0.7388888889,0.1945237933,0.5642857143000001,0.18058389800000002,5-fold,100
125,mlp,auc,10,m-carlo,0.6583333333,0.0715896726,0.653125,0.0724767431,0.7000000000000001,0.1088214375,0.6062500000000001,0.1267963037,5-fold,100
184,rf,pca,50,10-fold,0.6571895425000001,0.1130638144,0.6400992063000001,0.10646502590000001,0.7855555556,0.190807252,0.4946428571,0.11756517470000001,5-fold,100
239,svm,pca,50,m-carlo,0.6555555556,0.0505010631,0.6412500000000001,0.0521100809,0.77,0.09090191360000001,0.5125000000000001,0.1139886883,5-fold,100
26,bag,d,50,m-carlo,0.6555555556,0.0808097421,0.65,0.0836561729,0.7000000000000001,0.1112134032,0.6000000000000001,0.1522852241,5-fold,100
126,mlp,pearson,10,m-carlo,0.6541666667,0.0803435403,0.6543749999999999,0.08063022730000001,0.6525000000000001,0.1371466752,0.65625,0.1510652961,5-fold,100
240,svm,auc,10,m-carlo,0.6541666667,0.0573362289,0.6440625,0.0563950979,0.735,0.09333020040000001,0.553125,0.0890257022,5-fold,100
127,mlp,auc,100,5-fold,0.653968254,0.0898754773,0.6609210526,0.1015854179,0.6268421053000001,0.1332187296,0.6950000000000001,0.2532668498,5-fold,100
27,bag,d,50,10-fold,0.6539215686000001,0.1083037412,0.6526190476,0.1118164968,0.6766666667,0.1315153843,0.6285714286,0.2018199507,5-fold,100
28,bag,pca,100,m-carlo,0.65,0.0558471878,0.645625,0.0537301065,0.685,0.101437043,0.6062500000000001,0.08626954390000001,5-fold,100
29,bag,d,10,10-fold,0.6490196078,0.07631805480000001,0.6414285714,0.08366769660000001,0.74,0.1429840706,0.5428571429,0.1958324287,5-fold,100
241,svm,pca,100,10-fold,0.6470588235,0.1231177797,0.6223015873000001,0.1299495028,0.8088888889,0.11884215070000001,0.43571428570000004,0.17069950790000002,5-fold,100
62,dtree,auc,10,10-fold,0.6470588235,0.1548910825,0.6490873016,0.1575876042,0.6588888889,0.1940153997,0.6392857143,0.2465464406,5-fold,100
242,svm,d,50,m-carlo,0.6444444444,0.0740984365,0.6365624999999999,0.07429147230000001,0.7075,0.11951106530000001,0.5656249999999999,0.1305904481,5-fold,100
128,mlp,d,10,10-fold,0.6434640523,0.1058994983,0.6380357143000001,0.104107296,0.71,0.19119507200000002,0.5660714286,0.1779851487,5-fold,100
243,svm,step-up,100,m-carlo,0.6430555556,0.0760859223,0.6284375,0.0754502657,0.76,0.1353358396,0.49687499999999996,0.1397174663,5-fold,100
244,svm,d,100,5-fold,0.6422222222,0.11800389030000001,0.6347807018,0.1220207393,0.6978947368,0.10366216700000001,0.5716666667,0.1517662219,5-fold,100
185,rf,d,50,5-fold,0.6422222222,0.0609986597,0.6400877193,0.064843788,0.6668421053,0.108687715,0.6133333333000001,0.15740958600000002,5-fold,100
186,rf,auc,10,5-fold,0.6420634921,0.0769513922,0.6395175439,0.0740676619,0.6773684211000001,0.159135476,0.6016666667,0.1662651413,5-fold,100
129,mlp,auc,10,10-fold,0.6418300654,0.10326429670000001,0.6348015873,0.1001187409,0.7088888889,0.1715578584,0.5607142857,0.15156964080000002,5-fold,100
187,rf,pca,50,m-carlo,0.6416666667,0.0748075286,0.6228125,0.07530843920000001,0.7925000000000001,0.112711789,0.453125,0.1264309542,5-fold,100
63,dtree,auc,10,5-fold,0.6414285714,0.10405061560000001,0.6395614035,0.1043758979,0.6657894737000001,0.1287458146,0.6133333333000001,0.15395255400000002,5-fold,100
245,svm,auc,10,10-fold,0.6408496732,0.0971815548,0.6319444444,0.0895489945,0.7388888889,0.1945237933,0.525,0.1656431155,5-fold,100
188,rf,d,50,10-fold,0.6379084967,0.1014979346,0.6385714286,0.1091225829,0.67,0.1494434118,0.6071428571,0.2170783634,5-fold,100
246,svm,pca,10,5-fold,0.6371428571000001,0.108609016,0.6285307018,0.1088391244,0.6978947368,0.15651148480000002,0.5591666667,0.1849455626,5-fold,100
130,mlp,auc,50,5-fold,0.6368253968,0.0948829357,0.6415570175,0.10810986480000001,0.6389473684,0.18322480630000001,0.6441666667,0.3024150478,5-fold,100
247,svm,d,50,5-fold,0.6363492063,0.0955754607,0.6240570175,0.0953367943,0.7289473684000001,0.133447262,0.5191666667,0.11893625740000001,5-fold,100
30,bag,pearson,10,5-fold,0.6363492063,0.0650900107,0.6299342105,0.0579638493,0.6973684211000001,0.1686881106,0.5625,0.1658312395,5-fold,100
131,mlp,pearson,50,5-fold,0.6361904762,0.069137872,0.6349342105,0.0676684173,0.6573684211,0.1057947105,0.6125,0.1100820401,5-fold,100
132,mlp,d,10,m-carlo,0.6361111111000001,0.0583368142,0.6290625,0.059198143800000005,0.6925,0.1480353798,0.5656249999999999,0.16901781870000002,5-fold,100
